abandon	L01 U01	[əˈbændən][sound:abandon.mp3]<br />		<hr /><strong>构词</strong>　【根】a-[ad-, to]+ban[v.＆n.禁令]+-don[v.＆n.], to ban, 禁令下达后的结果→v.放弃；停止做某事；放弃（理智、责任）→v.＆n.放纵<br />	<hr />【<strong>考法 1</strong>】<br />v./n. <strong><ins>放纵：</ins></strong>carefree, freedom from <strong><ins>constraint</ins></strong><br /><strong>例</strong>　abandon oneself to emotion　感情用事<br /><strong>近</strong>　unconstraint, uninhibitedness, unrestraint<br /><hr />【<strong>考法 2</strong>】<br />v. <strong><ins>放弃：</ins></strong>to <strong><ins>withdraw</ins></strong> from often in the face of danger or encroachment<br /><strong>例</strong>　abandon the home　离家<br /><strong>反</strong>　salvage　救援<br />
abase	L01 U01	[əˈbeɪs][sound:abase.mp3]<br />		<hr /><strong>构词</strong>　【根】a-[ad-, to]+base[底部], to base, 向底部（降）→v.降低（地位、职位、威望或尊严）<br /><strong>词根</strong>　<strong>base</strong>　base[底部，基础]作词根时也表示“底部”。basement[地下室]就是一栋楼里“最底部[base]、最下面的屋子[-ment]”。<br /><strong>同根</strong>　abase, debase, self-abasement, abysmal<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>降低（地位、职位、威望或尊严）：</ins></strong>to <strong><ins>lower</ins></strong> in rank, office, prestige, or esteem<br /><strong>例</strong>　He was unwilling to abase himself by pleading guilty to a crime that he did not commit．他不愿意屈就自己去承认一个莫须有的罪名。<br /><strong>近</strong>　debauch, degrade, profane, vitiate, discredit, foul, smirch, take down<br /><strong>反</strong>　elevate, ennoble, uplift, aggrandize, canonize, deify, exalt　使高贵，使有声望<br />
abash	L01 U01	[əˈbæʃ][sound:abash.mp3]<br />		<hr /><strong>构词</strong>　【联】ab-[away]+ash[灰], away in ash, 使灰溜溜地溜走→v.使尴尬，使羞愧<br />　　　【参】近义词embarrass[v.使尴尬]<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>使尴尬，使羞愧：</ins></strong>to destroy the self-possession or <strong><ins>self-confidence</ins></strong> of, disconcert, <strong><ins>embarrass</ins></strong><br /><strong>例</strong>　feel abashed in public　当众感到羞愧<br /><strong>近</strong>　discomfit, disconcert, discountenance, faze, fluster, nonplus, mortify<br /><strong>反</strong>　embolden　使大胆<br />
abate	L01 U01	[əˈbeɪt][sound:abate.mp3]<br />		<hr /><strong>构词</strong>　【根】a-[ad-, to]+bat[beat, 打]+-e[v.], tobeat (down)→v.减轻（程度或者强度）；减少（数量），降低（价值）<br /><strong>词根</strong>　<strong>beat</strong>　<br /><strong>同根</strong>　abate, browbeat, offbeat, upbeat<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>减轻（程度或者强度）：</ins></strong>to <strong><ins>reduce</ins></strong> in <strong><ins>degree</ins></strong> or <strong><ins>intensity</ins></strong><br /><strong>例</strong>　abate his rage/pain　平息他的愤怒/减轻他的痛苦<br /><strong>近</strong>　moderate, recede, subside, remit, wane, die (away or down or out), let up, phase down, taper off<br /><strong>反</strong>　intensify　加强，加剧<br /><hr />【<strong>考法 2</strong>】<br />v. <strong><ins>减少（数量），降低（价值）：</ins></strong>to <strong><ins>reduce</ins></strong> in <strong><ins>amount or value</ins></strong><br /><strong>例</strong>　abate a tax　降低税收<br /><strong>近</strong>　de-escalate, deplete, downscale, dwindle, ratchet (down)<br /><strong>反</strong>　augment, promote　增加<br />
abbreviate	L01 U01	[əˈbriːvieɪt][sound:abbreviate.mp3]<br />		<hr /><strong>构词</strong>　【根】ab-[ad-, to]+brev (i) [brief]+-ate[v.], (make) brief→v.缩写，缩短<br /><strong>词根</strong>　<strong>brev</strong>　词根brev表示brief[简洁]。单词brief与词根brev同源（可看做brief的字母组合i脱落，清辅音f变成对应的浊辅音v）。<br /><strong>同根</strong>　brevity, abbreviate, abridge<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>缩写，缩短：</ins></strong>to make <strong><ins>briefer</ins></strong><br /><strong>例</strong>　abbreviate the word “building” as “bldg.”将“building”缩写作“bldg”。<br /><strong>近</strong>　abridge, curtail, cut back, syncopate, truncate<br /><strong>反</strong>　extend, protract, elongate, lengthen, prolong　延长<br />
abdicate	L01 U01	[ˈæbdɪkeɪt][sound:abdicate.mp3]<br />		<hr /><strong>构词</strong>　【根】ab-[away]+dic[say]+-ate[v.], sayaway (from power, responsibility)→v.正式放弃（权力、责任）<br /><strong>词根</strong>　<strong>dic, dict</strong>　词根dic(t)表示say[说]。常见词predict[预测]，字面义say[dict=say]before[pre-=before], 即预先说（结果）。同大部分与说相关的词根一样，这个词根也有“words”的含义，dictionary[字典]就是a collection of words。<br /><strong>同根</strong>　abdicate, addict, indict, interdict, valediction, vindicate, contradict, dictate<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>正式放弃（权力、责任），不干了：</ins></strong>to renounce a <strong><ins>throne</ins></strong>, to relinquish（power or responsibility）formally<br /><strong>例</strong>　abdicate the throne/crown　退位<br /><strong>近</strong>　cede, relinquish, renounce, resign, step down (from)<br /><strong>反</strong>　constitute, assume, usurp　任命；承担；篡位<br />
aberrant	L01 U01	[æˈberənt][sound:aberrant.mp3]<br />		<hr /><strong>构词</strong>　【根】ab-[away]+err[wander]+-ant[a.], wander away→a.异常的，非常规的<br /><strong>词根</strong>　<strong>err</strong>　词根err相当于wander[游荡；迷失]。error[错误]来自wander的引申义“偏离”。<br /><strong>同根</strong>　aberrant, errant, erratic, erroneous<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>异常的，非常规的：</ins></strong><strong><ins>deviating</ins></strong> from the usual or natural type<br /><strong>例</strong>　aberrant behavior　异常行为<br /><strong>近</strong>　abnormal, anomalous, peculiar, singular, unwonted, uncustomary<br /><strong>反</strong>　normal, natural, regular, standard, typical　正常的，标准的，典型的<br />
abet	L01 U01	[əˈbet][sound:abet.mp3]<br />		<hr /><strong>构词</strong>　【源】a-[ad-, to]+bet[bite], to bite, “去咬”，源自英国曾经盛行的纵狗咬熊的游戏，在群狗的撕咬下，熊最终会惨烈牺牲。游戏过程中，观众常常向狗大喊“去咬”，即教唆狗咬熊→v.帮助，怂恿；鼓励<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>鼓励：</ins></strong>to actively <strong><ins>encourage</ins></strong> (as an activity or plan)<br /><strong>例</strong>　abet someone's opinion　支持某人的观点<br /><strong>近</strong>　aid, assist, back, support, prop (up)<br /><strong>反</strong>　stymie, frustrate, obstruct, thwart, impede, forestall, hinder　阻挠<br />
abeyance	L01 U01	[əˈbeɪəns][sound:abeyance.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>中止，搁置：</ins></strong>temporary <strong><ins>inactivity</ins></strong><br /><strong>例</strong>　hold the plan in abeyance　使计划暂停<br /><strong>近</strong>　doldrums, quiescence, moratorium, latency, dormancy, suspension, cold storage, deep freeze<br /><strong>反</strong>　continuance, fulfillment　继续；履行<br />
abhor	L01 U01	[əbˈhɔːr][sound:abhor.mp3]<br />		<hr /><strong>构词</strong>　【根】ab-[away]+hor[horror, n.颤抖], be away in horror, 颤抖地远离→v.深恶痛绝，极度厌恶<br />　　　【参】horrible[a.极讨厌的；可怕的]<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>深恶痛绝，极度厌恶：</ins></strong>to regard with <strong><ins>extreme repugnance</ins></strong><br /><strong>例</strong>　abhor violence　厌恶暴力<br /><strong>近</strong>　abominate, despise, detest, execrate, loathe<br /><strong>反</strong>　greatly admire　非常崇拜<br />
abiding	L01 U02	[əˈbaɪdɪŋ]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>持久的：</ins></strong>lasting for a long time; <strong><ins>enduring</ins></strong><br /><strong>例</strong>　an abiding love of Espanol　对西班牙语持久的热爱<br /><strong>近</strong>　ageless, enduring, eternal, everlasting, perennial, perpetual, timeless<br /><strong>反</strong>　evanescent, ephemeral　短暂的<br />
abject	L01 U02	[ˈæbdʒekt][sound:abject.mp3]<br />		<hr /><strong>构词</strong>　【根】ab-[away]+ject[throw], throw (spirit) away→a.无精打采的；throw away (by society）→a.（地位、身份）悲惨、凄凉的；throw (dignity) away→a.卑微的，讨好的<br /><strong>词根</strong>　<strong>ject</strong>　词根ject表示throw[扔]（或翻译成“投，掷, 抛”）。reject[拒绝]字面含义“扔[ject]回去[re-]”；inject[注射]字面含义“扔[ject]进去[in-]”。<br /><strong>同根</strong>　abject, conjecture, deject, project, subject, jettison<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>（地位、身份）悲惨、凄凉的：</ins></strong>sunk to or existing in a <strong><ins>low state</ins></strong> or condition<br /><strong>例</strong>　abject poverty　让人绝望的贫穷<br /><hr />【<strong>考法 2</strong>】<br />a. <strong><ins>卑微的，讨好的：</ins></strong>expressing or offered in a <strong><ins>humble</ins></strong> and often ingratiating spirit<br /><strong>例</strong>　abject flattery　卑躬屈膝般的恭维<br />　　an abject apology　讨好般的道歉<br /><strong>近</strong>　base, humble, menial, servile, slavish<br />
abjure	L01 U02	[əbˈdʒʊr][sound:abjure.mp3]<br />		<hr /><strong>构词</strong>　【根】ab-[away]+jur[swear]+-e[v.], swear (being) away→v.发誓放弃；抵制，避免<br />　　　【注】词根jur表示swear[发誓]，是一个法律术语（jury[陪审团]，jurist[法官]）<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>发誓放弃：</ins></strong>a firm and final <strong><ins>rejecting</ins></strong> or <strong><ins>abandoning</ins></strong> often made under oath<br /><strong>例</strong>　abjure one's belief　发誓放弃信仰<br /><strong>近</strong>　recant, renege, renounce, abnegate, forswear, repudiate<br /><strong>反</strong>　affirm, espouse, embrace　接受，拥护<br /><hr />【<strong>考法 2</strong>】<br />v. <strong><ins>抵制，避免：</ins></strong>to <strong><ins>resist</ins></strong> the temptation of<br /><strong>例</strong>　abjure extravagance　抵制铺张浪费<br /><strong>近</strong>　keep (from), refrain（from）, withhold（from）<br /><strong>反</strong>　bow to, give in to, submit to, succumb to, surrender to, yield to　屈从于<br />
abnegate	L01 U02	[ˈæbnɪɡeɪt][sound:abnegate.mp3]<br />		<hr /><strong>构词</strong>　【根】ab-[away]+neg[deny]+-ate[v.], deny→v.否认；deny, away (from）→v.投降，放弃，交出（权力等）<br /><strong>词根</strong>　<strong>neg</strong>　词根neg表示deny[否定，拒绝]。例如negative[否定的，消极的]。<br /><strong>同根</strong>　abnegate, negation, negligent, renege<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>否认：</ins></strong><strong><ins>deny</ins></strong>, <strong><ins>renounce</ins></strong><br /><strong>例</strong>　abnegate the idea of freedom　放弃自由的观念<br /><strong>近</strong>　recant, renege, repudiate, unsay, forswear, take back<br /><strong>反</strong>　reaffirm　再肯定，重申<br />
abominate	L01 U02	[əˈbɑːmɪneɪt][sound:abominate.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>痛恨，厌恶：</ins></strong>to hate or loathe intensely, <strong><ins>abhor</ins></strong><br /><strong>例</strong>　abominate slavery　痛恨奴隶制<br /><strong>近</strong>　despise, detest, execrate, loathe<br /><strong>反</strong>　esteem, love, adore　尊敬，爱<br />
aboveboard	L01 U02	[əˈbʌvbɔːrd][sound:aboveboard.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>无欺诈的，光明正大的：</ins></strong><strong><ins>free from</ins></strong> all traces of <strong><ins>deceit or duplicity</ins></strong><br /><strong>例</strong>　aboveboard transactions　光明正大的交易<br /><strong>反</strong>　surreptitious, underhanded　偷偷摸摸的<br />
